"filename","speaker","uttNum","transcript","pos_tags","move","moveid"
"q1ec1.txt","f",51,"half ""u"" shape to the southeast ","DT FW NN TO DT NN","check","q1ec1.f.move.52"
"q1ec1.txt","g",52,"yeah ","NN","reply_y","q1ec1.g.move.53"
"q1ec1.txt","g",53,"yeah the southeast ","VB DT NN","reply_y","q1ec1.g.move.55"
"q1ec1.txt","f",54,"right okay ","RB JJ","acknowledge","q1ec1.f.move.56"
"q1ec1.txt","g",55,"and continue up north slightly ","CC VB RP RB RB","instruct","q1ec1.g.move.58"
"q1ec1.txt","f",56,"mmhmm ","NN","acknowledge","q1ec1.f.move.59"
"q1ec1.txt","g",57,"but not quite to the tip of that lake ","CC RB RB TO DT NN IN DT NN","instruct","q1ec1.g.move.60"
"q1ec1.txt","f",58,"mmhmm ","NN","acknowledge","q1ec1.f.move.61"
"q1ec1.txt","g",59,"and then we're going to turn down ove-- above a trig point and we're going to turn immediately to your right and straight down at an angle of forty-five ","CC RB PRP VBP VBG TO VB RP IN DT NN NN CC PRP VBP VBG TO VB RB TO PRP$ NN CC RB RB IN DT NN IN CD","instruct","q1ec1.g.move.62"
"q1ec1.txt","f",60,"right ","RB","acknowledge","q1ec1.f.move.63"
"q1ec1.txt","g",61,"okay ","JJ","align","q1ec1.g.move.64"
"q1ec1.txt","g",62,"and we're going to continue that wee distance down and that the point at the end of that it should be near to the abandoned cottage where we went past miles away but if not just carry on and then continue down in that forty-five degree ","CC PRP VBP VBG TO VB DT NN NN RB CC IN DT NN IN DT NN IN IN PRP MD VB IN TO DT VBN NN WRB PRP VBD JJ NNS RB CC IN RB RB VB IN CC RB VB RP IN DT CD NN","instruct","q1ec1.g.move.65"
"q1ec1.txt","f",63,"mmhmm ","NN","acknowledge","q1ec1.f.move.66"
"q1ec1.txt","g",64,"and turn round by a monument on the outside of the monument ","CC VB JJ IN DT NN IN DT NN IN DT NN","instruct","q1ec1.g.move.67"
"q1ec1.txt","f",65,"outside of the monument ","IN IN DT NN","check","q1ec1.f.move.68"
"q1ec1.txt","g",66,"yeah ","NN","reply_y","q1ec1.g.move.69"
"q1ec1.txt","g",67,"and then a very slight turning up again north sort of northwest ","CC RB DT RB JJ VBG RP RB RB NN IN RB","instruct","q1ec1.g.move.70"
"q1ec1.txt","f",68,"mmhmm ","NN","acknowledge","q1ec1.f.move.71"
"q1ec1.txt","g",69,"very slight curve sort of very slight ""s""-shaped just a slight curve and then going to proceed up north again ","RB JJ NN NN IN RB JJ JJ RB DT JJ NN CC RB VBG TO VB RP RB RB","instruct","q1ec1.g.move.72"
"q1ec1.txt","g",70,"on the right-hand side there's a nuclear test site before right before reaching the top of that northbound ","IN DT JJ NN EX VBZ DT JJ NN NN RB RB IN VBG DT NN IN DT JJ","explain","q1ec1.g.move.73"
"q1ec1.txt","g",71,"and then you're going to turn back west ","CC RB PRP VBP VBG TO VB RP NN","instruct","q1ec1.g.move.74"
"q1ec1.txt","g",72,"and above that there's an east lake ","CC IN DT EX VBZ DT JJ NN","explain","q1ec1.g.move.75"
"q1ec1.txt","f",73,"oh right okay ","UH RB JJ","acknowledge","q1ec1.f.move.76"
"q1ec1.txt","g",74,"yeah ","NN","acknowledge","q1ec1.g.move.77"
"q1ec1.txt","g",75,"and that's the finish ","CC DT VBZ DT NN","instruct","q1ec1.g.move.79"
"q1ec1.txt","f",76,"mmhmm ","NN","acknowledge","q1ec1.f.move.78"
"q1ec1.txt","f",77,"slightly different ","RB JJ","explain","q1ec1.f.move.80"
"q1ec2.txt","g",1,"right ","RB","ready","q1ec2.g.move.1"
"q1ec2.txt","g",2,"start off facing north ","VB RP VBG RB","instruct","q1ec2.g.move.2"
"q1ec2.txt","g",3,"right ","RB","align","q1ec2.g.move.3"
"q1ec2.txt","g",4,"turn to your left and walk forward then to your left again keep walking forward 'til you come to the site of a plane crash go right roundabout it and turn to your right so you end up facing north again ","VB TO PRP$ NN CC NN RB RB TO PRP$ NN RB VB VBG RB RB PRP VBP TO DT NN IN DT NN NN VB RB JJ PRP CC VB TO PRP$ NN IN PRP VBP RP VBG RB RB","instruct","q1ec2.g.move.4"
"q1ec2.txt","f",5,"could you just slow down a bit please ","MD PRP RB VB RP DT NN VB","instruct","q1ec2.f.move.5"
"q1ec2.txt","g",6,"sorry ","RB","acknowledge","q1ec2.g.move.7"
"q1ec2.txt","f",7,"so i have to walk straight ahead from the start ","RB FW VBP TO VB RB RB IN DT NN","check","q1ec2.f.move.8"
"q1ec2.txt","g",8,"mmhmm ","NN","reply_y","q1ec2.g.move.9"
"q1ec2.txt","f",9,"and then turn right ","CC RB VB RB","check","q1ec2.f.move.10"
"q1ec2.txt","g",10,"mmhmm ","NN","reply_y","q1ec2.g.move.11"
"q1ec2.txt","g",11,"just go a couple of steps ","RB VB DT NN IN NNS","clarify","q1ec2.g.move.12"
"q1ec2.txt","f",12,"mmhmm ","NN","acknowledge","q1ec2.f.move.13"
"q1ec2.txt","f",13,"have i to pass pass by the waterhole ","VB FW TO VB NN IN DT NN","query_yn","q1ec2.f.move.15"
"q1ec2.txt","g",14,"pass pass the pass ","VB VB DT NN","clarify","q1ec2.g.move.16"
"q1ec2.txt","g",15,"well ","RB","ready","q1ec2.g.move.18.2"
"q1ec2.txt","g",16,"it's stony desert that's what i've got here ","PRP VBZ JJ NN WDT VBZ WP FW VBP VBN RB","reply_w","q1ec2.g.move.19"
"q1ec2.txt","f",17,"erm ","UH","uncodable","q1ec2.f.move.20"
"q1ec2.txt","g",18,"but ","CC","reply_w","q1ec2.g.move.21"
"q1ec2.txt","f",19,"now ","RB","ready","q1ec2.f.move.22"
"q1ec2.txt","f",20,"i'm starting off from the s-- just above to the north of the stony desert ","LS VBP VBG RP IN DT RB IN TO DT NN IN DT JJ NN","align","q1ec2.f.move.23"
"q1ec2.txt","g",21,"mmhmm ","NN","reply_y","q1ec2.g.move.24"
"q1ec2.txt","f",22,"erm ","UH","ready","q1ec2.f.move.25"
"q1ec2.txt","f",23,"have i to pass by the savannah ","VB FW TO VB IN DT NN","query_yn","q1ec2.f.move.25.2"
"q1ec2.txt","g",24,"no ","DT","reply_n","q1ec2.g.move.26"
"q1ec2.txt","g",25,"you've to come down ","PRP VBP TO VB RP","clarify","q1ec2.g.move.27"
"q1ec2.txt","f",26,"erm ","UH","uncodable","q1ec2.f.move.28"
"q1ec2.txt","g",27,"and round past the site of the plane crash ","CC JJ IN DT NN IN DT NN NN","clarify","q1ec2.g.move.29"
"q1ec2.txt","g",28,"no ","DT","align","q1ec2.g.move.30"
"q1ec2.txt","f",29,"erm ","UH","ready","q1ec2.f.move.31"
"q1ec2.txt","f",30,"erm plane crash is to north of where i am ","UH NN NN VBZ TO NN IN WRB FW VBP","explain","q1ec2.f.move.31.2"
"q1ec2.txt","g",31,"well ","RB","ready","q1ec2.g.move.32"
"q1ec2.txt","g",32,"is there no one right at the bottom left-hand side of the page ","VBZ EX DT NN NN IN DT JJ JJ NN IN DT NN","query_yn","q1ec2.g.move.33"
"q1ec2.txt","f",33,"no ","DT","reply_n","q1ec2.f.move.34"
"q1ec2.txt","g",34,"okay ","JJ","acknowledge","q1ec2.g.move.35"
"q1ec2.txt","g",35,"well ","RB","ready","q1ec2.g.move.36"
"q1ec2.txt","g",36,"come to walk right to the right-hand side of the page ","VBN TO VB JJ TO DT JJ NN IN DT NN","instruct","q1ec2.g.move.37"
"q1ec2.txt","f",37,"okay ","JJ","acknowledge","q1ec2.f.move.38"
"q1ec2.txt","g",38,"eh left-hand sorry ","UH JJ JJ","instruct","q1ec2.g.move.39"
"q1ec2.txt","f",39,"okay ","JJ","acknowledge","q1ec2.f.move.40"
"q1ec2.txt","g",40,"erm have you got a collapsed shelter ","UH VBP PRP VBD DT JJ NN","query_yn","q1ec2.g.move.41"
"q1ec2.txt","f",41,"yes i do ","RB FW VBP","reply_y","q1ec2.f.move.42"
"q1ec2.txt","g",42,"right ","RB","acknowledge","q1ec2.g.move.43"
"q1ec2.txt","g",43,"you've to go up north and then round the collapsed shelter ","PRP VBP TO VB RP RB CC RB VBP DT JJ NN","instruct","q1ec2.g.move.44"
"q1ec2.txt","f",44,"uh-huh ","RB","acknowledge","q1ec2.f.move.45"
"q1ec2.txt","g",45,"erm do you meet the savannah ","UH VBP PRP VB DT NN","query_yn","q1ec2.g.move.46"
"q1ec2.txt","f",46,"erm ","UH","ready","q1ec2.f.move.47"
"q1ec2.txt","f",47,"mm now when i when i go round past the collapsed shelter my the savannah is to my right ","NN RB WRB FW WRB FW VB JJ IN DT JJ NN PRP$ DT NN VBZ TO PRP$ NN","reply_w","q1ec2.f.move.47.2"
"q1ec2.txt","g",48,"mmhmm ","NN","acknowledge","q1ec2.g.move.48"
"q1ec2.txt","f",49,"okay ","JJ","acknowledge","q1ec2.f.move.49"
"q1ec2.txt","g",50,"well ","RB","ready","q1ec2.g.move.50"
"q1ec2.txt","g",51,"walking east ","VBG JJ","instruct","q1ec2.g.move.51"
"q1ec2.txt","f",52,"that's east okay okay ","DT VBZ JJ JJ JJ","acknowledge","q1ec2.f.move.52"
"q1ec2.txt","f",53,"that's i'll change direction and walk east now towards the savannah past the collapsed shelter ","DT VBZ FW MD VB NN CC NN RB RB IN DT NN IN DT JJ NN","align","q1ec2.f.move.53"
"q1ec2.txt","g",54,"mmhmm ","NN","reply_y","q1ec2.g.move.54"
"q1ec2.txt","g",55,"when you get to the savannah t-- before you ge-- turn to your left so you're heading north again ","WRB PRP VBP TO DT NN IN PRP VBP TO PRP$ VBN RB PRP VBP VBG RB RB","instruct","q1ec2.g.move.55"
"q1ec2.txt","f",56,"okay ","JJ","acknowledge","q1ec2.f.move.56"
"q1ec2.txt","f",57,"okay ","JJ","acknowledge","q1ec2.f.move.58"
"q1ec2.txt","g",58,"until you you get over the top of the slate mountain ","IN PRP PRP VBP IN DT NN IN DT NN NN","instruct","q1ec2.g.move.59"
"q1ec2.txt","f",59,"over the top of the ","IN DT NN IN DT","query_w","q1ec2.f.move.60"
"q1ec2.txt","g",60,"slate mountain ","NN NN","reply_w","q1ec2.g.move.61"
"q1ec2.txt","f",61,"don't have a slate mountain ","VBP RB VB DT NN NN","explain","q1ec2.f.move.62"
"q1ec2.txt","g",62,"mm ","NN","acknowledge","q1ec2.g.move.63"
"q1ec2.txt","f",63,"eh i've got some hot springs and elephants ","UH FW VBP VBD DT JJ NNS CC NNS","explain","q1ec2.f.move.64"
"q1ec2.txt","g",64,"well ","RB","ready","q1ec2.g.move.65"
"q1ec2.txt","g",65,"the hot wells are after the slate mountain ","DT JJ NNS VBP IN DT NN NN","explain","q1ec2.g.move.66"
"q1ec2.txt","g",66,"ehm ","NN","ready","q1ec2.g.move.67"
"q1ec2.txt","g",67,"just walk up t-- to the north to about the height of hot wells the hot springs ","RB VB RB TO DT NN TO IN DT NN IN JJ NNS DT JJ NNS","instruct","q1ec2.g.move.67.2"
"q1ec2.txt","f",68,"okay okay okay ","JJ JJ JJ","acknowledge","q1ec2.f.move.68"
"q1ec2.txt","g",69,"turn to your right well left sorry ","VB TO PRP$ NN RB VBD JJ","instruct","q1ec2.g.move.70"
"q1ec2.txt","f",70,"mmhmm ","NN","acknowledge","q1ec2.f.move.71"
"q1ec2.txt","g",71,"and down below the springs ","CC RB IN DT NNS","instruct","q1ec2.g.move.72"
"q1ec2.txt","f",72,"walk walk below the springs ","NN NN IN DT NNS","check","q1ec2.f.move.73"
"q1ec2.txt","g",73,"uh-huh ","RB","reply_y","q1ec2.g.move.74"
"q1ec2.txt","f",74,"right ","RB","acknowledge","q1ec2.f.move.75"
"q1ec2.txt","g",75,"then turn to face north again ","RB VB TO VB RB RB","instruct","q1ec2.g.move.76"
"q1ec2.txt","f",76,"uh-huh ","RB","acknowledge","q1ec2.f.move.77"
"q1ec2.txt","g",77,"have you got a white mountain ","VB PRP VBD DT JJ NN","query_yn","q1ec2.g.move.78"
"q1ec2.txt","f",78,"yes ","RB","reply_y","q1ec2.f.move.79"
"q1ec2.txt","f",79,"i have a white mountain to my north ","LS VBP DT JJ NN TO PRP$ NN","explain","q1ec2.f.move.80"
"q1ec2.txt","g",80,"right ","RB","acknowledge","q1ec2.g.move.81"
"q1ec2.txt","g",81,"up past up on the left of the white mountain walk right up past ","RB IN RB IN DT NN IN DT JJ NN VB RB RB JJ","instruct","q1ec2.g.move.82"
"q1ec2.txt","f",82,"uh-huh ","RB","acknowledge","q1ec2.f.move.85"
"q1ec2.txt","g",83,"erm do you have a lake right up at the top ","UH VBP PRP VB DT NN NN RB IN DT NN","query_yn","q1ec2.g.move.86"
"q1ec2.txt","f",84,"yes uh-huh ","RB JJ","reply_y","q1ec2.f.move.87"
"q1ec2.txt","g",85,"right ","RB","acknowledge","q1ec2.g.move.88"
"q1ec2.txt","g",86,"walk keep walking north 'til you get to the level of the lake ","NN VB VBG RB RB PRP VBP TO DT NN IN DT NN","instruct","q1ec2.g.move.89"
"q1ec2.txt","f",87,"uh-huh ","RB","acknowledge","q1ec2.f.move.90"
"q1ec2.txt","g",88,"then walk right round it ","RB VB JJ NN PRP","instruct","q1ec2.g.move.91"
"q1ec2.txt","f",89,"uh-huh ","RB","acknowledge","q1ec2.f.move.92"
"q1ec2.txt","g",90,"roman baths ","NN NNS","query_yn","q1ec2.g.move.93"
"q1ec2.txt","f",91,"roman baths don't have any roman baths at all ","NN NNS VBP RB VB DT NN NNS IN DT","reply_n","q1ec2.f.move.94"
"q1ec2.txt","g",92,"well ","RB","ready","q1ec2.g.move.95"
"q1ec2.txt","g",93,"when you come round the lake stick close round the edge ","WRB PRP VBP JJ DT NN NN JJ NN DT NN","instruct","q1ec2.g.move.96"
"q1ec2.txt","f",94,"uh-huh ","RB","acknowledge","q1ec2.f.move.97"
"q1ec2.txt","g",95,"and come back the way you came well only halfway ","CC VB RB DT NN PRP VBD RB RB RB","instruct","q1ec2.g.move.98"
"q1ec2.txt","f",96,"mmhmm ","NN","acknowledge","q1ec2.f.move.99"
"q1ec2.txt","f",97,"back round past the white mountain ","RB JJ IN DT JJ NN","check","q1ec2.f.move.101"
"q1ec2.txt","g",98,"right ","RB","align","q1ec2.g.move.100"
"q1ec2.txt","g",99,"no ","DT","reply_n","q1ec2.g.move.102"
"q1ec2.txt","g",100,"right just come back about the length of the lake ","RB RB VB RB IN DT NN IN DT NN","clarify","q1ec2.g.move.103"
"q1ec2.txt","f",101,"uh-huh ","RB","acknowledge","q1ec2.f.move.104"
"q1ec2.txt","g",102,"erm roman baths ","UH NN NNS","query_yn","q1ec2.g.move.105"
"q1ec2.txt","g",103,"no ","DT","reply_n","q1ec2.g.move.106"
"q1ec2.txt","g",104,"you said you didn't have that ","PRP VBD PRP VBD RB VB DT","explain","q1ec2.g.move.107"
"q1ec2.txt","f",105,"don't have any roman baths ","VBP RB VB DT NN NNS","reply_n","q1ec2.f.move.108"
"q1ec2.txt","g",106,"antelopes ","NNS","query_yn","q1ec2.g.move.111"
"q1ec2.txt","f",107,"i've got some round r-- ","LS VBP VBD DT NN","explain","q1ec2.f.move.109"
"q1ec2.txt","f",108,"yes ","RB","reply_y","q1ec2.f.move.112"
"q1ec2.txt","f",109,"i've got some antelopes right in the centre ","LS VBP VBD DT NNS RB IN DT NN","explain","q1ec2.f.move.113"
"q1ec2.txt","g",110,"well ","RB","ready","q1ec2.g.move.114"
"q1ec2.txt","g",111,"on a-- this map the roman baths are there are at the top below the lake and then it's the antelope ","IN DT NN DT NN NNS VBP EX VBP IN DT JJ IN DT NN CC RB PRP VBZ DT NNS","explain","q1ec2.g.move.115"
"q1ec2.txt","f",112,"right okay ","RB JJ","acknowledge","q1ec2.f.move.116"
"q1ec2.txt","f",113,"so you want me to go between the antelopes and the position of the roman bath ","RB PRP VBP PRP TO VB IN DT NNS CC DT NN IN DT NN NN","query_yn","q1ec2.f.move.117"
"q1ec2.txt","g",114,"well it one is just below the other and it's come down to the way you'll be facing it'll be your left the roman baths and the antelopes will be to your left ","RB PRP CD VBZ RB IN DT JJ CC PRP VBZ VBN RP TO DT NN PRP MD VB VBG PRP MD VB PRP$ VBD DT NN NNS CC DT NNS MD VB TO PRP$ NN","reply_w","q1ec2.g.move.118"
"q1ec2.txt","f",115,"right okay then ","RB JJ RB","acknowledge","q1ec2.f.move.119"
"q1ec2.txt","f",116,"right ","RB","ready","q1ec2.f.move.120"
"q1ec2.txt","f",117,"so i've to go down to so that the antelopes are to my left ","RB FW VBP TO VB RB TO RB IN DT NNS VBP TO PRP$ NN","check","q1ec2.f.move.121"
"q1ec2.txt","f",118,"and what about this lake ","CC WP IN DT NN","query_w","q1ec2.f.move.122"
"q1ec2.txt","f",119,"i'm still i've still gone halfway back round the lake again ","LS VBP RB FW VBP RB VBN RB RB VB DT NN RB","explain","q1ec2.f.move.123"
"q1ec2.txt","g",120,"erm ","UH","uncodable","q1ec2.g.move.124"
"q1ec2.txt","g",121,"right ","RB","ready","q1ec2.g.move.125"
"q1ec2.txt","g",122,"your lake is on the right top right ","PRP$ NN VBZ IN DT JJ JJ NN","align","q1ec2.g.move.126"
"q1ec2.txt","f",123,"okay ","JJ","reply_y","q1ec2.f.move.127"
"q1ec2.txt","g",124,"right er ","RB UH","ready","q1ec2.g.move.129"
"q1ec2.txt","g",125,"and you're to walk erm that way round the lake to-- the roman baths were there ","CC PRP VBP TO VB UH DT NN NN DT NN DT NN NNS VBD RB","instruct","q1ec2.g.move.129.2"
"q1ec2.txt","f",126,"okay ","JJ","acknowledge","q1ec2.f.move.130"
"q1ec2.txt","g",127,"erm ","UH","uncodable","q1ec2.g.move.131"
"q1ec2.txt","f",128,"i just score this bit out a minute ","LS RB VBP DT NN IN DT NN","explain","q1ec2.f.move.132"
"q1ec2.txt","f",129,"right ","RB","ready","q1ec2.f.move.133"
"q1ec2.txt","f",130,"so sort of underneath the lake then ","RB NN IN IN DT NN RB","check","q1ec2.f.move.134"
"q1ec2.txt","g",131,"er right round and come back under it ","VB JJ NN CC VB RB IN PRP","clarify","q1ec2.g.move.135"
"q1ec2.txt","f",132,"right round ","RB NN","acknowledge","q1ec2.f.move.136"
"q1ec2.txt","f",133,"right that's that right okay okay ","RB DT VBZ IN JJ JJ JJ","acknowledge","q1ec2.f.move.138"
"q1ec2.txt","g",134,"right ","RB","ready","q1ec2.g.move.139"
"q1ec2.txt","g",135,"and straight down to the antelopes ","CC RB RB TO DT NNS","instruct","q1ec2.g.move.140"
"q1ec2.txt","f",136,"uh-huh ","RB","acknowledge","q1ec2.f.move.141"
"q1ec2.txt","g",137,"erm and it goes round the bottom of the antelopes ","UH CC PRP VBZ NN DT NN IN DT NNS","instruct","q1ec2.g.move.142"
"q1ec2.txt","f",138,"mmhmm ","NN","acknowledge","q1ec2.f.move.143"
"q1ec2.txt","g",139,"on my map it's eh right to the go to the right ","IN PRP$ NN PRP VBZ UH RB TO DT NN TO DT NN","instruct","q1ec2.g.move.144"
"q1ec2.txt","f",140,"mmhmm ","NN","acknowledge","q1ec2.f.move.145"
"q1ec2.txt","g",141,"i think that's me at the finish ","LS VBP DT VBZ PRP IN DT NN","instruct","q1ec2.g.move.146"
"q1ec2.txt","g",142,"just is there a site of the plane crash ","RB VBZ EX DT NN IN DT NN NN","query_yn","q1ec2.g.move.147"
"q1ec2.txt","f",143,"uh-huh i've got that i've got a site of plane crash ","JJ FW VBP VBN IN FW VBP VBD DT NN IN NN NN","reply_w","q1ec2.f.move.148"
"q1ec2.txt","g",144,"well it's just below there ","RB PRP VBZ RB IN EX","instruct","q1ec2.g.move.149"
"q1ec2.txt","f",145,"just below that ","RB IN DT","acknowledge","q1ec2.f.move.150"
"q1ec2.txt","f",146,"and that's it ","CC DT VBZ PRP","check","q1ec2.f.move.151"
"q1ec2.txt","g",147,"think so ","VB RB","reply_y","q1ec2.g.move.152"
"q1ec3.txt","g",1,"okay ","JJ","ready","q1ec3.g.move.1"
"q1ec3.txt","g",2,"start off above the diamond mine ","VB RP IN DT NN NN","instruct","q1ec3.g.move.2"
"q1ec3.txt","f",3,"okay yeah ","JJ NN","acknowledge","q1ec3.f.move.3"
"q1ec3.txt","g",4,"right ","RB","align","q1ec3.g.move.4"
"q1ec3.txt","g",5,"now ","RB","ready","q1ec3.g.move.5"
"q1ec3.txt","g",6,"go south from the diamond mine until you are just above the desert ","VB RB IN DT NN NN IN PRP VBP RB IN DT NN","instruct","q1ec3.g.move.6"
"q1ec3.txt","f",7,"so that's with the diamond mine on on your right ","IN DT VBZ IN DT NN NN IN IN PRP$ NN","query_yn","q1ec3.f.move.7"
"q1ec3.txt","g",8,"that's that's correct uh-huh ","DT VBZ DT VBZ JJ RB","reply_y","q1ec3.g.move.8"
"q1ec3.txt","g",9,"and go below the diamond mine ","CC VB IN DT NN NN","instruct","q1ec3.g.move.9"
"q1ec3.txt","f",10,"mmhmm ","NN","acknowledge","q1ec3.f.move.10"
"q1ec3.txt","g",11,"and below the graveyard below the graveyard but above the carved wooden pole ","CC IN DT NN IN DT NN CC IN DT VBN JJ NN","instruct","q1ec3.g.move.11"
"q1ec3.txt","f",12,"oh hang on i don't have a graveyard ","UH VB IN FW VBP RB VB DT NN","explain","q1ec3.f.move.12"
"q1ec3.txt","g",13,"okay ","JJ","ready","q1ec3.g.move.13"
"q1ec3.txt","g",14,"so you don't have a graveyard ","RB PRP VBP RB VB DT NN","check","q1ec3.g.move.14"
"q1ec3.txt","g",15,"do you have a fast flowing river ","VB PRP VBP DT JJ VBG NN","query_yn","q1ec3.g.move.15"
