"","filename","speaker","uttNum","transcript","pos_tags","move","moveid"
"12526","q4nc5.txt","f",171,"but if i if i just go in straight lines to to miss the things ","CC IN FW IN FW RB VB IN JJ NNS TO TO VB DT NNS","check","q4nc5.f.move.176"
"3917","q1nc8.txt","f",80,"but if i'm going up to my left from half halfway up the page surely i mean am am i supposed to be halfway up the page ","CC IN FW VBP VBG RB TO PRP$ VBN IN NN RB IN DT NN RB FW VB RB VBP FW VBN TO VB RB IN DT NN","check","q1nc8.f.move.85"
"8902","q3nc4.txt","f",117,"and above white mountain ","CC IN JJ NN","check","q3nc4.f.move.120"
"25878","q8nc1.txt","f",109,"or in front of it ","CC IN NN IN PRP","check","q8nc1.f.move.117"
"12338","q4nc4.txt","f",407,"a-- and over to the the corn-- ","CC IN TO DT DT","check","q4nc4.f.move.425"
"10194","q4ec5.txt","f",93,"and underneath to the left do you mean like going from left to right underneath the concealed l-- hi-- hideout ","CC IN TO DT VBN VBP PRP VB IN VBG IN VBN TO JJ IN DT VBN NN","check","q4ec5.f.move.114"
"11313","q4nc2.txt","f",265,"and parallel to the disused warehouse ","CC JJ TO DT JJ NN","check","q4nc2.f.move.263"
"7638","q3ec3.txt","f",86,"but you w-- you want me to go to underneath it ","CC PRP PRP VBP PRP TO VB TO IN PRP","check","q3ec3.f.move.84"
"22110","q7ec8.txt","f",159,"and you you come to the the roof a point where the roof of the carpenter's house left-hand side ","CC PRP PRP VBP TO DT DT NN DT NN WRB DT NN IN DT NN POS NN JJ NN","check","q7ec8.f.move.172"
"18777","q6nc2.txt","f",109,"and it just goes straight up from where i say overnight accommodation would be just right up northwards yeah ","CC PRP RB VBZ RB RB IN WRB FW VBP JJ NN MD VB RB RB IN RB JJ","check","q6nc2.f.move.110"
"1957","q1nc1.txt","f",665,"but i-- you told me it was just below ea-- east lake ","CC PRP VBD PRP PRP VBD RB IN JJ NN","check","q1nc1.f.move.679"
"21791","q7ec6.txt","f",527,"and you want the the hill on the left-hand side ","CC PRP VBP DT DT NN IN DT JJ NN","check","q7ec6.f.move.513"
"13222","q4nc7.txt","f",63,"and we're past we don't go through the old volcano no ","CC PRP VBP IN PRP VBP RB VB IN DT JJ NN DT","check","q4nc7.f.move.68"
"2748","q1nc3.txt","f",373,"and you go round again to the fort ","CC PRP VBP JJ RB TO DT NN","check","q1nc3.f.move.406"
"20946","q7ec3.txt","f",165,"and you go just about parallel to the line before ","CC PRP VBP RB RB JJ TO DT NN IN","check","q7ec3.f.move.171"
"16211","q5nc5.txt","f",78,"and it's on the left well i'm coming from the left to go to above it ","CC PRP VBZ IN DT VBN RB FW VBP VBG IN DT VBN TO VB TO IN PRP","check","q5nc5.f.move.82"
"20647","q7ec2.txt","f",161,"and it's that'll be about under the the ""c"" of reclaimed ","CC PRP VBZ IN MD VB RB IN DT DT NN IN VBN","check","q7ec2.f.move.162"
"6775","q2nc7.txt","f",17,"and it's slightly to the right of the start ","CC PRP VBZ RB TO DT NN IN DT NN","check","q2nc7.f.move.21"
"8262","q3ec8.txt","f",70,"and down ","CC RB","check","q3ec8.f.move.73"
"17902","q6ec5.txt","f",97,"and up ","CC RB","check","q6ec5.f.move.99"
"10001","q4ec4.txt","f",76,"and then a the reverse of the concavity of the thing to come round to the alpine garden ","CC RB DT DT NN IN DT NN IN DT NN TO VB NN TO DT JJ NN","check","q4ec4.f.move.81"
"12965","q4nc6.txt","f",183,"and now a bit of i've a a couple of centimetres from the left-hand side of the page ","CC RB DT NN IN FW VBP DT DT NN IN NNS IN DT JJ NN IN DT NN","check","q4nc6.f.move.193"
"16618","q5nc7.txt","f",155,"and then that's it ","CC RB DT VBZ PRP","check","q5nc7.f.move.153"
"20596","q7ec2.txt","f",110,"and now i can head back ","CC RB FW MD VB RB","check","q7ec2.f.move.106"
"1917","q1nc1.txt","f",625,"and so i curve round ","CC RB FW NN NN","check","q1nc1.f.move.635"
"11580","q4nc3.txt","f",197,"and then i go along to where it says ""r"" of the ravine ","CC RB FW VB IN TO WRB PRP VBZ NN IN DT NN","check","q4nc3.f.move.223"
"26323","q8nc5.txt","f",51,"and then i go up past the left-hand side of it ","CC RB FW VB RP IN DT JJ NN IN PRP","check","q8nc5.f.move.55"
"20943","q7ec3.txt","f",162,"and so i want to go to about there ","CC RB FW VBP TO VB TO IN RB","check","q7ec3.f.move.168"
"9729","q4ec3.txt","f",33,"and down through ","CC RB IN","check","q4ec3.f.move.33"
"9888","q4ec3.txt","f",192,"and down like ","CC RB IN","check","q4ec3.f.move.202"
"16087","q5nc4.txt","f",245,"and then across ","CC RB IN","check","q5nc4.f.move.248"
"20097","q6nc7.txt","f",185,"and just above the green ","CC RB IN DT JJ","check","q6nc7.f.move.197"
"18693","q6nc2.txt","f",25,"and about in a line with the the writing of broken gate roughly ","CC RB IN DT NN IN DT DT NN IN JJ NN RB","check","q6nc2.f.move.25"
"6341","q2nc4.txt","f",65,"and then down the middle in between my rapids and my rocks ","CC RB IN DT NN IN IN PRP$ NNS CC PRP$ NNS","check","q2nc4.f.move.67"
"20686","q7ec2.txt","f",200,"and then about an inch going west ","CC RB IN DT NN VBG NN","check","q7ec2.f.move.201"
"10030","q4ec4.txt","f",105,"and then from there ","CC RB IN EX","check","q4ec4.f.move.112"
"19360","q6nc4.txt","f",77,"and then down through the middle of it ","CC RB IN IN DT NN IN PRP","check","q6nc4.f.move.76"
"1364","q1nc1.txt","f",72,"and then right ","CC RB NN","check","q1nc1.f.move.77"
"26987","q8nc8.txt","f",99,"and then round ","CC RB NN","check","q8nc8.f.move.103"
"7432","q3ec1.txt","f",198,"and then curve back down to the bottom of the page ","CC RB NN RB RB TO DT NN IN DT NN","check","q3ec1.f.move.204"
"26359","q8nc5.txt","f",87,"but not ehm touching it or ","CC RB NN VBG PRP CC","check","q8nc5.f.move.91"
"4605","q2ec3.txt","f",195,"and then you go right ","CC RB PRP VB RB","check","q2ec3.f.move.204"
"2071","q1nc2.txt","f",93,"and then you go up three inches ","CC RB PRP VB RP CD NNS","check","q1nc2.f.move.93.9"
"14028","q5ec1.txt","f",171,"and then you told me to turn right ","CC RB PRP VBD PRP TO VB RB","check","q5ec1.f.move.172"
"1370","q1nc1.txt","f",78,"and up now ","CC RB RB","check","q1nc1.f.move.83"
"3158","q1nc5.txt","f",153,"and down again ","CC RB RB","check","q1nc5.f.move.161"
"4085","q1nc8.txt","f",248,"and down again ","CC RB RB","check","q1nc8.f.move.256"
"6852","q2nc7.txt","f",94,"and then horizontally ","CC RB RB","check","q2nc7.f.move.102"
"10298","q4ec6.txt","f",14,"and then up ","CC RB RB","check","q4ec6.f.move.15"
"12450","q4nc5.txt","f",95,"and down again ","CC RB RB","check","q4nc5.f.move.97"
"20011","q6nc7.txt","f",99,"and then down ","CC RB RB","check","q6nc7.f.move.109"
"25716","q8ec8.txt","f",82,"but straight down ","CC RB RB","check","q8ec8.f.move.78"
"23088","q7nc3.txt","f",126,"and then up above ","CC RB RB IN","check","q7nc3.f.move.135"
"22501","q7nc1.txt","f",124,"and then right up to the gold mine ","CC RB RB IN TO DT NN NN","check","q7nc1.f.move.123"
"22878","q7nc2.txt","f",290,"and then just straight left ","CC RB RB JJ NN","check","q7nc2.f.move.298"
"18328","q6ec8.txt","f",47,"and straight up to the ","CC RB RB TO DT","check","q6ec8.f.move.47"
"15518","q5nc2.txt","f",16,"and then to the left ","CC RB TO DT NN","check","q5nc2.f.move.17"
"12050","q4nc4.txt","f",119,"and down to the yacht club ","CC RB TO DT NN NN","check","q4nc4.f.move.123"
"475","q1ec3.txt","f",250,"and then to the along to the fort ","CC RB TO DT RB TO DT NN","check","q1ec3.f.move.256"
"9980","q4ec4.txt","f",55,"and then eh from there going to disused monastery ","CC RB UH IN EX VBG TO JJ NN","check","q4ec4.f.move.60"
"7271","q3ec1.txt","f",37,"and then stop ","CC RB VB","check","q3ec1.f.move.38"
"11167","q4nc2.txt","f",119,"and just go on the same level then ","CC RB VB IN DT JJ NN RB","check","q4nc2.f.move.110"
"16267","q5nc5.txt","f",134,"and then go under the fort ","CC RB VB IN DT NN","check","q5nc5.f.move.136"
"18046","q6ec6.txt","f",47,"and then go underneath them ","CC RB VB IN PRP","check","q6ec6.f.move.49"
"4678","q2ec4.txt","f",68,"and just take it straight through towards the top of the page ","CC RB VB PRP RB IN IN DT NN IN DT NN","check","q2ec4.f.move.67"
"87","q1ec2.txt","f",9,"and then turn right ","CC RB VB RB","check","q1ec2.f.move.10"
"9752","q4ec3.txt","f",56,"and then go right ","CC RB VB RB","check","q4ec3.f.move.57"
"23058","q7nc3.txt","f",96,"and then go left ","CC RB VB RB","check","q7nc3.f.move.103"
"2997","q1nc4.txt","f",218,"and just go straight down ","CC RB VB RB RB","check","q1nc4.f.move.229"
"12549","q4nc5.txt","f",194,"and then heading ","CC RB VBG","check","q4nc5.f.move.200"
"10222","q4ec5.txt","f",121,"and then do a curved line ","CC RB VBP DT JJ NN","check","q4ec5.f.move.149"
"2007","q1nc2.txt","f",29,"but just round the outline of the desert ","CC RB VBP DT NN IN DT NN","check","q1nc2.f.move.31"
"20316","q7ec1.txt","f",21,"and then are going ","CC RB VBP VBG","check","q7ec1.f.move.21"
"309","q1ec3.txt","f",84,"but to the southwest ","CC TO DT NN","check","q1ec3.f.move.84"
"26422","q8nc5.txt","f",150,"and to the right of the boat house ","CC TO DT NN IN DT NN NN","check","q8nc5.f.move.156"
"12399","q4nc5.txt","f",44,"and to the to the left of ravine ","CC TO DT TO DT NN IN NN","check","q4nc5.f.move.41"
"12494","q4nc5.txt","f",139,"and to to the ""p"" ","CC TO TO DT NN","check","q4nc5.f.move.142"
"10164","q4ec5.txt","f",63,"s-- and eh i want to be just above ","CC UH FW VBP TO VB RB RB","check","q4ec5.f.move.80"
"779","q1ec6.txt","f",19,"and do a loop ","CC VB DT NN","check","q1ec6.f.move.18"
"3386","q1nc7.txt","f",26,"and round the picket fence ","CC VB DT NN NN","check","q1nc7.f.move.33"
"13279","q4nc7.txt","f",120,"and cross it ","CC VB PRP","check","q4nc7.f.move.131"
"1873","q1nc1.txt","f",581,"and go left ","CC VB RB","check","q1nc1.f.move.590"
"6390","q2nc4.txt","f",114,"and move down ","CC VB RB","check","q2nc4.f.move.117"
"7356","q3ec1.txt","f",122,"and land just below the trout farm ","CC VB RB IN DT NNS NN","check","q3ec1.f.move.126"
"20237","q6nc8.txt","f",119,"and go right down to the e-- right to the what the dutch elm ","CC VB RB RB TO DT NN TO DT WP DT JJ FW","check","q6nc8.f.move.126"
"19685","q6nc5.txt","f",154,"and go up to the ruined city ","CC VB RP TO DT VBN NN","check","q6nc5.f.move.156"
"19607","q6nc5.txt","f",76,"and go to the waterfall ","CC VB TO DT NN","check","q6nc5.f.move.77"
"21148","q7ec5.txt","f",9,"and go hang a big left right past it ","CC VB VB DT JJ RB JJ IN PRP","check","q7ec5.f.move.8"
"11928","q4nc3.txt","f",545,"and am i directly above the windows ","CC VBP FW RB IN DT NNS","check","q4nc3.f.move.587"
"4818","q2ec4.txt","f",208,"but are your stone slabs not kind of at the other side of that ","CC VBP PRP$ NN NNS RB NN IN IN DT JJ NN IN DT","check","q2ec4.f.move.217"
"2772","q1nc3.txt","f",397,"i-- but is the finishing point at the fort ","CC VBZ DT JJ NN IN DT NN","check","q1nc3.f.move.430"
"5880","q2nc2.txt","f",199,"and which side of the dutch elm should i end up on ","CC WDT NN IN DT JJ NN MD FW VB RP IN","check","q2nc2.f.move.212"
"11977","q4nc4.txt","f",46,"and a-- a-- what i'm doing it at yacht club i'm going i'm going ","CC WP FW VBP VBG PRP IN NN NN FW VBP VBG FW VBP VBG","check","q4nc4.f.move.50"
"25234","q8ec6.txt","f",112,"and what how h-- how high am i going to be ","CC WP WRB WRB JJ VBP FW VBG TO VB","check","q8ec6.f.move.109"
"15427","q5nc1.txt","f",158,"and when you get to the one on the ","CC WRB PRP VBP TO DT CD IN DT","check","q5nc1.f.move.163"
"6954","q2nc7.txt","f",196,"g-- and how far am i going left ","CC WRB RB VBP FW VBG RB","check","q2nc7.f.move.210"
"8900","q3nc4.txt","f",115,"two and a half inches from the top of the page ","CD CC DT NN NNS IN DT NN IN DT NN","check","q3nc4.f.move.118"
"20571","q7ec2.txt","f",85,"one inch south ","CD NN RB","check","q7ec2.f.move.83"
"1970","q1nc1.txt","f",678,"one centimetre to the left ","CD NN TO DT NN","check","q1nc1.f.move.692"
"16873","q6ec1.txt","f",130,"one bit goes up ","CD NN VBZ RB","check","q6ec1.f.move.136"
"7474","q3ec2.txt","f",11,"three inches ","CD NNS","check","q3ec2.f.move.11"
"7512","q3ec2.txt","f",49,"six inches ","CD NNS","check","q3ec2.f.move.48"
"15526","q5nc2.txt","f",24,"four inches ","CD NNS","check","q5nc2.f.move.25"
"24773","q8ec4.txt","f",168,"thirty degrees ","CD NNS","check","q8ec4.f.move.163"
"25208","q8ec6.txt","f",86,"two thirds of the way across the page you mean it's a big huge line i'm drawing here ","CD NNS IN DT NN IN DT NN PRP VBP PRP VBZ DT JJ JJ NN FW VBP VBG RB","check","q8ec6.f.move.82"
"26182","q8nc4.txt","f",67,"four centimetres below it ","CD NNS IN PRP","check","q8nc4.f.move.64"
"11975","q4nc4.txt","f",44,"three centimetres long ","CD NNS RB","check","q4nc4.f.move.48"
"6038","q2nc3.txt","f",81,"four inches directly up the side top right-hand side ","CD NNS RB IN DT NN JJ JJ NN","check","q2nc3.f.move.85"
"12061","q4nc4.txt","f",130,"two centimetres up from the allotments ","CD NNS RB IN DT NNS","check","q4nc4.f.move.135"
"6275","q2nc3.txt","f",318,"two inches to the right ","CD NNS TO DT NN","check","q2nc3.f.move.343"
"24611","q8ec4.txt","f",6,"two inches to the my ","CD NNS TO DT PRP$","check","q8ec4.f.move.5"
"24620","q8ec4.txt","f",15,"ten er to forty-five degrees slope ","CD UH TO CD NNS NN","check","q8ec4.f.move.13"
"2811","q1nc4.txt","f",32,"no ","DT","check","q1nc4.f.move.33"
"2918","q1nc4.txt","f",139,"no ","DT","check","q1nc4.f.move.143"
"4198","q2ec1.txt","f",99,"no ","DT","check","q2ec1.f.move.105"
"15872","q5nc4.txt","f",30,"no ","DT","check","q5nc4.f.move.30"
"24961","q8ec5.txt","f",67,"no ","DT","check","q8ec5.f.move.73"
"25220","q8ec6.txt","f",98,"no ","DT","check","q8ec6.f.move.95"
"11982","q4nc4.txt","f",51,"no but but that's how far down i want to come ","DT CC CC DT VBZ WRB RB RB FW VBP TO VB","check","q4nc4.f.move.54.9"
"13968","q5ec1.txt","f",111,"another one ","DT CD","check","q5ec1.f.move.112"
"21180","q7ec5.txt","f",41,"a five degree angle ","DT CD NN NN","check","q7ec5.f.move.45"
"22208","q7ec8.txt","f",257,"the the the furthest right one ","DT DT DT JJS NN CD","check","q7ec8.f.move.276"
"16379","q5nc6.txt","f",104,"all the way round it ","DT DT NN NN PRP","check","q5nc6.f.move.105"
"52","q1ec1.txt","f",51,"half ""u"" shape to the southeast ","DT FW NN TO DT NN","check","q1ec1.f.move.52"
"26768","q8nc7.txt","f",69,"no so it's a centimetre above the saxon barn ","DT IN PRP VBZ DT NN IN DT NN NN","check","q8nc7.f.move.72"
"9774","q4ec3.txt","f",78,"a diagonal ","DT JJ","check","q4ec3.f.move.83"
"16976","q6ec1.txt","f",233,"the westerly one ","DT JJ CD","check","q6ec1.f.move.242"
"18940","q6nc2.txt","f",272,"the dutch elm ","DT JJ FW","check","q6nc2.f.move.279"
"17535","q6ec3.txt","f",87,"all right so you've the rope bridge and the waterfall and the fallen pillars ","DT JJ IN PRP VBP DT NN NN CC DT NN CC DT VBN NNS","check","q6ec3.f.move.86"
"13089","q4nc6.txt","f",307,"the bottom right-hand corner ","DT JJ JJ NN","check","q4nc6.f.move.325"
"1736","q1nc1.txt","f",444,"the bottom right-hand side this is you're talking about ","DT JJ JJ NN DT VBZ PRP VBP VBG RB","check","q1nc1.f.move.451"
"1409","q1nc1.txt","f",117,"the other side ","DT JJ NN","check","q1nc1.f.move.120"
"1440","q1nc1.txt","f",148,"the bottom right ","DT JJ NN","check","q1nc1.f.move.153"
"2098","q1nc2.txt","f",120,"a straight line ","DT JJ NN","check","q1nc2.f.move.120"
"5852","q2nc2.txt","f",171,"the great viewpoint ","DT JJ NN","check","q2nc2.f.move.183"
"9045","q3nc5.txt","f",95,"a straight line ","DT JJ NN","check","q3nc5.f.move.99"
"16731","q5nc8.txt","f",111,"the left-hand side ","DT JJ NN","check","q5nc8.f.move.110"
"16833","q6ec1.txt","f",90,"this big thing ","DT JJ NN","check","q6ec1.f.move.97"
"1154","q1ec8.txt","f",17,"the very end of the map ","DT JJ NN IN DT NN","check","q1ec8.f.move.18"
"19051","q6nc2.txt","f",383,"the same way as the lake goes ","DT JJ NN IN DT NN VBZ","check","q6nc2.f.move.386"
"10300","q4ec6.txt","f",16,"the left-hand side of the allotments ","DT JJ NN IN DT NNS","check","q4ec6.f.move.15.2"
"17977","q6ec5.txt","f",172,"the right-hand side of the gazelles and then turn right ","DT JJ NN IN DT NNS CC RB VB RB","check","q6ec5.f.move.175"
"2270","q1nc2.txt","f",292,"the left-hand side of it ","DT JJ NN IN PRP","check","q1nc2.f.move.293"
"8612","q3nc2.txt","f",165,"a straight line between them ","DT JJ NN IN PRP","check","q3nc2.f.move.161"
"18841","q6nc2.txt","f",173,"the bottom lake's the start you say ","DT JJ NN POS DT NN PRP VBP","check","q6nc2.f.move.172"
"2178","q1nc2.txt","f",200,"a vertical line up ","DT JJ NN RB","check","q1nc2.f.move.198"
"14509","q5ec4.txt","f",23,"a pretend semicircle to the ","DT JJ NN TO DT","check","q5ec4.f.move.23"
"1998","q1nc2.txt","f",20,"the stony desert is below the start ","DT JJ NN VBZ IN DT NN","check","q1nc2.f.move.22"
"11083","q4nc2.txt","f",35,"the highest viewpoint ","DT JJS NN","check","q4nc2.f.move.29"
"1599","q1nc1.txt","f",307,"a curve ","DT NN","check","q1nc1.f.move.314"
"2729","q1nc3.txt","f",354,"the buffalo ","DT NN","check","q1nc3.f.move.385"
"2767","q1nc3.txt","f",392,"the fort ","DT NN","check","q1nc3.f.move.425"
"9267","q3nc7.txt","f",92,"the cactus ","DT NN","check","q3nc7.f.move.95"
"12192","q4nc4.txt","f",261,"the left-hand s-- ","DT NN","check","q4nc4.f.move.274"
"13919","q5ec1.txt","f",62,"the right ","DT NN","check","q5ec1.f.move.62"
"14525","q5ec4.txt","f",39,"the inside ","DT NN","check","q5ec4.f.move.40"
"17124","q6ec2.txt","f",121,"no gate ","DT NN","check","q6ec2.f.move.126"
"20513","q7ec2.txt","f",27,"an inch ","DT NN","check","q7ec2.f.move.29"
"24534","q8ec3.txt","f",122,"the sea ","DT NN","check","q8ec3.f.move.121"
"26457","q8nc5.txt","f",185,"the left ","DT NN","check","q8nc5.f.move.191"
"10641","q4ec8.txt","f",19,"a curve or ","DT NN CC","check","q4ec8.f.move.25"
"3233","q1nc6.txt","f",39,"a bay a green bay ","DT NN DT JJ NN","check","q1nc6.f.move.42"
"22615","q7nc2.txt","f",27,"a curve a curvy line ","DT NN DT JJ NN","check","q7nc2.f.move.22"
"18672","q6nc2.txt","f",4,"the thing the cross that says start yeah ","DT NN DT NN WDT VBZ VB NN","check","q6nc2.f.move.4"
"7365","q3ec1.txt","f",131,"a cavalry a cattle stockade ","DT NN DT NNS NN","check","q3ec1.f.move.135"
"8793","q3nc4.txt","f",8,"an inch from the left-hand side of the page ","DT NN IN DT JJ NN IN DT NN","check","q3nc4.f.move.8"
"3822","q1nc7.txt","f",462,"a centimetre from the ""e"" ","DT NN IN DT LS","check","q1nc7.f.move.497"
"988","q1ec7.txt","f",121,"the ""c"" over the cottage ","DT NN IN DT NN","check","q1ec7.f.move.126"
"9712","q4ec3.txt","f",16,"the left of the ravine ","DT NN IN DT NN","check","q4ec3.f.move.16"
"16347","q5nc6.txt","f",72,"a slope towards the right ","DT NN IN DT NN","check","q5nc6.f.move.73"
"23348","q7nc5.txt","f",19,"an inch above the bottom ","DT NN IN DT NN","check","q7nc5.f.move.20"
"10445","q4ec7.txt","f",49,"the edge of the paper until i'm just across from the rope bridge ","DT NN IN DT NN IN FW VBP RB IN IN DT NN NN","check","q4ec7.f.move.53"
"21272","q7ec6.txt","f",8,"the water at the bottom of crest falls ","DT NN IN DT NN IN NN VBZ","check","q7ec6.f.move.7"
"17788","q6ec4.txt","f",132,"the top of the saloon bar then it'll be ","DT NN IN DT NN NN RB PRP MD VB","check","q6ec4.f.move.128"
"17821","q6ec5.txt","f",16,"the bottom of the page you mean ","DT NN IN DT NN PRP VBP","check","q6ec5.f.move.16"
"19035","q6nc2.txt","f",367,"the sort of diagonal bit near the end ","DT NN IN JJ NN IN DT NN","check","q6nc2.f.move.370"
"12612","q4nc5.txt","f",257,"the ""b"" of bay ","DT NN IN NN","check","q4nc5.f.move.267"
"7673","q3ec3.txt","f",121,"the bottom of it ","DT NN IN PRP","check","q3ec3.f.move.121"
"22111","q7ec8.txt","f",160,"an inch above it ","DT NN IN PRP","check","q7ec8.f.move.174"
"9890","q4ec3.txt","f",194,"the right as you face the map ","DT NN IN PRP VBP DT NN","check","q4ec3.f.move.204"
"22261","q7ec8.txt","f",310,"a kind of inverted in a ""s"" a backwards ""s"" ","DT NN IN VBN IN DT NNS DT RB NNS","check","q7ec8.f.move.332"
"1305","q1nc1.txt","f",13,"the mill wheel ","DT NN NN","check","q1nc1.f.move.13"
"2382","q1nc3.txt","f",7,"the diamond mine ","DT NN NN","check","q1nc3.f.move.7"
"20689","q7ec2.txt","f",203,"the west tip ","DT NN NN","check","q7ec2.f.move.204"
"4776","q2ec4.txt","f",166,"the stone creek and the stone slabs ","DT NN NN CC DT NN NNS","check","q2ec4.f.move.171"
"18854","q6nc2.txt","f",186,"a line right a straight line along the top ","DT NN NN DT JJ NN IN DT NN","check","q6nc2.f.move.187"
"8322","q3ec8.txt","f",130,"a circle round the crashed spaceship ","DT NN NN DT VBN NN","check","q3ec8.f.move.136"
"14168","q5ec2.txt","f",22,"the plane crash at the top right ","DT NN NN IN DT JJ NN","check","q5ec2.f.move.22"
"20655","q7ec2.txt","f",169,"a wee bay bit in it ","DT NN NN NN IN PRP","check","q7ec2.f.move.171"
