,1-Gram,Occurence1,2-Gram,Occurence2,3-Gram,Occurence3,4-Gram,Occurence4
40,,,clarify check,190,explain acknowledge ready,122,acknowledge acknowledge ready instruct,61
41,,,instruct instruct,186,query_yn reply_y ready,122,acknowledge align reply_y ready,61
42,,,instruct query_w,182,ready query_yn reply_y,120,acknowledge acknowledge instruct acknowledge,58
43,,,reply_n explain,179,query_yn reply_y instruct,119,acknowledge ready query_yn reply_y,57
44,,,ready align,174,acknowledge query_yn reply_n,118,reply_y acknowledge ready instruct,56
45,,,explain check,162,ready align reply_y,117,acknowledge align instruct acknowledge,56
46,,,ready check,159,acknowledge acknowledge ready,112,acknowledge instruct align reply_y,56
47,,,query_yn reply_w,156,acknowledge instruct align,111,check reply_y acknowledge ready,53
48,,,acknowledge query_w,154,explain instruct acknowledge,109,query_yn reply_y instruct acknowledge,53
49,,,explain query_yn,132,check reply_y instruct,109,acknowledge explain acknowledge explain,53
50,,,reply_n clarify,130,acknowledge instruct explain,107,check reply_y instruct acknowledge,52
51,,,explain align,128,ready explain acknowledge,106,acknowledge instruct query_yn reply_n,50
52,,,align check,123,clarify acknowledge clarify,105,clarify acknowledge instruct acknowledge,50
53,,,reply_y reply_y,113,check clarify acknowledge,105,instruct acknowledge instruct instruct,49
54,,,align acknowledge,112,reply_y acknowledge ready,104,acknowledge instruct explain acknowledge,49
55,,,acknowledge reply_y,109,instruct query_w reply_w,100,reply_y instruct acknowledge align,48
56,,,clarify align,98,acknowledge ready query_yn,99,instruct acknowledge instruct explain,48
57,,,check acknowledge,92,clarify acknowledge instruct,99,acknowledge instruct acknowledge explain,47
58,,,check instruct,90,instruct acknowledge explain,98,acknowledge query_yn reply_n acknowledge,47
59,,,reply_w check,88,query_yn reply_y explain,96,ready instruct align reply_y,47
60,,,align ready,81,reply_w acknowledge instruct,95,acknowledge query_w reply_w acknowledge,46
61,,,query_w clarify,80,explain ready instruct,94,acknowledge explain acknowledge instruct,46
62,,,reply_w ready,79,instruct query_yn reply_n,93,ready instruct acknowledge ready,46
63,,,explain query_w,78,instruct explain acknowledge,93,instruct acknowledge explain acknowledge,46
64,,,check ready,78,query_yn reply_n explain,92,align reply_y instruct check,45
65,,,query_yn acknowledge,77,align instruct acknowledge,91,ready instruct acknowledge acknowledge,45
66,,,reply_y query_w,73,reply_y instruct check,90,reply_y instruct check reply_y,45
67,,,align explain,71,acknowledge query_w reply_w,86,instruct acknowledge instruct align,45
68,,,check explain,70,ready instruct align,86,acknowledge instruct acknowledge check,45
69,,,query_w ready,70,instruct instruct acknowledge,86,instruct query_yn reply_y acknowledge,44
70,,,reply_w explain,70,acknowledge ready explain,85,acknowledge instruct instruct acknowledge,44
71,,,reply_n instruct,68,check reply_y ready,84,reply_y check reply_y acknowledge,44
72,,,acknowledge reply_w,68,clarify check reply_y,83,instruct query_w reply_w acknowledge,44
73,,,instruct reply_y,66,explain acknowledge acknowledge,83,query_yn reply_y explain acknowledge,43
74,,,ready query_w,65,clarify acknowledge align,82,acknowledge query_yn reply_y acknowledge,43
75,,,reply_n query_yn,65,align reply_y acknowledge,82,acknowledge instruct query_w reply_w,43
76,,,acknowledge uncodable,64,query_yn reply_y query_yn,82,acknowledge ready instruct check,43
77,,,clarify explain,62,acknowledge instruct instruct,80,reply_w acknowledge instruct acknowledge,43
78,,,reply_w instruct,62,explain check reply_y,80,instruct query_yn reply_y instruct,42
79,,,query_yn explain,61,reply_n explain acknowledge,80,instruct acknowledge query_yn reply_n,42
80,,,ready reply_w,61,clarify acknowledge acknowledge,79,explain instruct acknowledge instruct,41
81,,,check reply_w,61,ready check reply_y,79,instruct check reply_y check,41
82,,,ready acknowledge,61,check reply_n clarify,78,query_w reply_w acknowledge instruct,41
83,,,reply_n ready,61,acknowledge explain instruct,77,check reply_y ready instruct,40
84,,,align query_yn,60,align reply_y explain,75,acknowledge ready instruct query_yn,40
85,,,reply_w query_yn,57,acknowledge instruct query_w,74,align instruct acknowledge instruct,40
86,,,uncodable instruct,57,check reply_y explain,74,query_yn reply_n explain acknowledge,40
87,,,reply_n check,55,reply_y query_yn reply_y,72,acknowledge explain instruct acknowledge,40
88,,,explain reply_y,55,ready instruct query_yn,72,instruct check reply_y instruct,40
89,,,instruct uncodable,54,instruct check clarify,70,instruct acknowledge ready query_yn,40
90,,,query_yn query_yn,54,align check reply_y,70,check reply_y acknowledge clarify,39
91,,,clarify ready,53,query_yn reply_w acknowledge,67,explain ready instruct acknowledge,39
92,,,check check,51,ready query_yn reply_n,67,query_yn reply_y query_yn reply_y,39
93,,,clarify instruct,49,acknowledge explain ready,64,reply_y ready instruct check,38
94,,,explain reply_n,48,acknowledge acknowledge align,64,reply_y align reply_y instruct,38
95,,,ready ready,48,explain acknowledge query_yn,63,query_yn reply_n acknowledge instruct,38
96,,,clarify reply_y,46,clarify acknowledge ready,63,check reply_n clarify acknowledge,38
97,,,check query_yn,46,reply_n clarify acknowledge,62,acknowledge explain acknowledge ready,38
98,,,ready clarify,44,explain explain acknowledge,62,reply_y acknowledge clarify acknowledge,36
99,,,uncodable acknowledge,43,reply_y instruct align,61,acknowledge ready align reply_y,36
