,1-Gram,Occurence1,2-Gram,Occurence2,3-Gram,Occurence3,4-Gram,Occurence4
58,,,check instruct,0.0033231178229885905,instruct acknowledge explain,0.0036186396868768925,acknowledge query_yn reply_n acknowledge,0.0017355341383257636
59,,,reply_w check,0.0032492707602555107,query_yn reply_y explain,0.0035447898973487925,ready instruct align reply_y,0.0017355341383257636
60,,,align ready,0.0029908060406897315,reply_w acknowledge instruct,0.0035078650025847425,acknowledge query_w reply_w acknowledge,0.0016986078800635131
61,,,query_w clarify,0.002953882509323192,explain ready instruct,0.0034709401078206925,acknowledge explain acknowledge instruct,0.0016986078800635131
62,,,reply_w ready,0.0029169589779566517,instruct query_yn reply_n,0.003434015213056643,ready instruct acknowledge ready,0.0016986078800635131
63,,,explain query_w,0.002880035446590112,instruct explain acknowledge,0.003434015213056643,instruct acknowledge explain acknowledge,0.0016986078800635131
64,,,check ready,0.002880035446590112,query_yn reply_n explain,0.003397090318292593,align reply_y instruct check,0.001661681621801263
65,,,query_yn acknowledge,0.002843111915223572,align instruct acknowledge,0.003360165423528543,ready instruct acknowledge acknowledge,0.001661681621801263
66,,,reply_y query_w,0.0026954177897574125,reply_y instruct check,0.003323240528764493,reply_y instruct check reply_y,0.001661681621801263
67,,,align explain,0.002621570727024333,acknowledge query_w reply_w,0.0031755409497082935,instruct acknowledge instruct align,0.001661681621801263
68,,,check explain,0.0025846471956577927,ready instruct align,0.0031755409497082935,acknowledge instruct acknowledge check,0.001661681621801263
69,,,query_w ready,0.0025846471956577927,instruct instruct acknowledge,0.0031755409497082935,instruct query_yn reply_y acknowledge,0.0016247553635390126
70,,,reply_w explain,0.0025846471956577927,acknowledge ready explain,0.0031386160549442435,acknowledge instruct instruct acknowledge,0.0016247553635390126
71,,,reply_n instruct,0.002510800132924713,check reply_y ready,0.0031016911601801935,reply_y check reply_y acknowledge,0.0016247553635390126
72,,,acknowledge reply_w,0.002510800132924713,clarify check reply_y,0.0030647662654161435,instruct query_w reply_w acknowledge,0.0016247553635390126
73,,,instruct reply_y,0.0024369530701916333,explain acknowledge acknowledge,0.0030647662654161435,query_yn reply_y explain acknowledge,0.0015878291052767624
74,,,ready query_w,0.002400029538825093,clarify acknowledge align,0.0030278413706520935,acknowledge query_yn reply_y acknowledge,0.0015878291052767624
75,,,reply_n query_yn,0.002400029538825093,align reply_y acknowledge,0.0030278413706520935,acknowledge instruct query_w reply_w,0.0015878291052767624
76,,,acknowledge uncodable,0.0023631060074585535,query_yn reply_y query_yn,0.0030278413706520935,acknowledge ready instruct check,0.0015878291052767624
77,,,clarify explain,0.0022892589447254734,acknowledge instruct instruct,0.002953991581123994,reply_w acknowledge instruct acknowledge,0.0015878291052767624
78,,,reply_w instruct,0.0022892589447254734,explain check reply_y,0.002953991581123994,instruct query_yn reply_y instruct,0.001550902847014512
79,,,query_yn explain,0.0022523354133589337,reply_n explain acknowledge,0.002953991581123994,instruct acknowledge query_yn reply_n,0.001550902847014512
80,,,ready reply_w,0.0022523354133589337,clarify acknowledge acknowledge,0.002917066686359944,explain instruct acknowledge instruct,0.0015139765887522618
81,,,check reply_w,0.0022523354133589337,ready check reply_y,0.002917066686359944,instruct check reply_y check,0.0015139765887522618
82,,,ready acknowledge,0.0022523354133589337,check reply_n clarify,0.002880141791595894,query_w reply_w acknowledge instruct,0.0015139765887522618
83,,,reply_n ready,0.0022523354133589337,acknowledge explain instruct,0.002843216896831844,check reply_y ready instruct,0.0014770503304900114
84,,,align query_yn,0.0022154118819923936,align reply_y explain,0.002769367107303744,acknowledge ready instruct query_yn,0.0014770503304900114
85,,,reply_w query_yn,0.0021046412878927743,acknowledge instruct query_w,0.0027324422125396945,align instruct acknowledge instruct,0.0014770503304900114
86,,,uncodable instruct,0.0021046412878927743,check reply_y explain,0.0027324422125396945,query_yn reply_n explain acknowledge,0.0014770503304900114
87,,,reply_n check,0.002030794225159694,reply_y query_yn reply_y,0.0026585924230115945,acknowledge explain instruct acknowledge,0.0014770503304900114
88,,,explain reply_y,0.002030794225159694,ready instruct query_yn,0.0026585924230115945,instruct check reply_y instruct,0.0014770503304900114
89,,,instruct uncodable,0.0019938706937931545,instruct check clarify,0.0025847426334834945,instruct acknowledge ready query_yn,0.0014770503304900114
90,,,query_yn query_yn,0.0019938706937931545,align check reply_y,0.0025847426334834945,check reply_y acknowledge clarify,0.0014401240722277612
91,,,clarify ready,0.0019569471624266144,query_yn reply_w acknowledge,0.002473967949191345,explain ready instruct acknowledge,0.0014401240722277612
92,,,check check,0.0018831000996935346,ready query_yn reply_n,0.002473967949191345,query_yn reply_y query_yn reply_y,0.0014401240722277612
93,,,clarify instruct,0.001809253036960455,acknowledge explain ready,0.002363193264899195,reply_y ready instruct check,0.0014031978139655108
94,,,explain reply_n,0.001772329505593915,acknowledge acknowledge align,0.002363193264899195,reply_y align reply_y instruct,0.0014031978139655108
95,,,ready ready,0.001772329505593915,explain acknowledge query_yn,0.002326268370135145,query_yn reply_n acknowledge instruct,0.0014031978139655108
96,,,clarify reply_y,0.0016984824428608353,clarify acknowledge ready,0.002326268370135145,check reply_n clarify acknowledge,0.0014031978139655108
97,,,check query_yn,0.0016984824428608353,reply_n clarify acknowledge,0.002289343475371095,acknowledge explain acknowledge ready,0.0014031978139655108
98,,,ready clarify,0.0016246353801277554,explain explain acknowledge,0.002289343475371095,reply_y acknowledge clarify acknowledge,0.0013293452974410102
99,,,uncodable acknowledge,0.0015877118487612155,reply_y instruct align,0.0022524185806070455,acknowledge ready align reply_y,0.0013293452974410102
